o111 o111
8 0.0070630360
9 0.0024764343
10 0.0367784236
11 0.0596434731
12 0.0798714330
13 0.0883241091
14 0.0806541029
15 0.0608181098
16 0.0378702474
17 0.0194724827
18 0.0082680165
19 0.0028989233
20 0.0423577013
21 0.0686913731
22 0.0919879095
23 0.1017228544
24 0.0928893102
25 0.0700442019
26 0.0436151545
27 0.0224264534
28 0.0095222726
29 0.0033386892
30 0.0480298695
31 0.0778899135
32 0.1043061158
33 0.1153446783
34 0.1053282240
35 0.0794239012
36 0.0494557098
37 0.0254296055
38 0.0107974110
39 0.0037857769
40 0.0536621608
41 0.0870237856
42 0.1165377215
43 0.1288707369
44 0.1176796888
45 0.0887376585
46 0.0552552042
47 0.0284116445
48 0.0120635848
49 0.0042297215
50 0.0591245941
51 0.0958821992
52 0.1284004477
53 0.1419888779
54 0.1296586593
55 0.0977705324
56 0.0608797982
57 0.0313037515
58 0.0132915735
59 0.0046602776
60 0.0642988949
61 0.1042733493
62 0.1396374390
63 0.1544150634
64 0.1410057632
65 0.1063269404
66 0.0662077060
67 0.0340433057
68 0.0144547883
69 0.0050681227
70 0.0690860946
71 0.1120367385
72 0.1500337655
73 0.1659116178
74 0.1515039645
75 0.1142432241
76 0.0711370211
77 0.0365779075
78 0.0155309803
79 0.0054454560
80 0.0734119770
81 0.1190520107
82 0.1594282525
83 0.1763003096
84 0.1609905093
85 0.1213966572
86 0.0755913239
87 0.0388682632
88 0.0165034653
89 0.0057864277
90 0.0772299166
91 0.1252435533
92 0.1677196440
93 0.1854691668
94 0.1693631491
95 0.1277101379
96 0.0795226049
97 0.0408896865
98 0.0173617617
99 0.0060873627
o111 o6
0 0.0268182445
1 0.0514975779
2 0.0816584785
3 0.1069238472
4 0.1156131261
5 0.1032283822
6 0.0761115055
7 0.0463404445
8 0.0232984979
9 0.0096728025
10 0.0299519228
11 0.0575150053
12 0.0912001693
13 0.1194177646
14 0.1291223749
15 0.1152904892
16 0.0850050394
17 0.0517552673
18 0.0260208981
19 0.0108030574
20 0.0329892325
21 0.0633473816
22 0.1004484290
23 0.1315274624
24 0.1422161800
25 0.1269816558
26 0.0936250747
27 0.0570035706
28 0.0286595777
29 0.0118985540
30 0.0358645693
31 0.0688687304
32 0.1092034999
33 0.1429913776
34 0.1546117222
35 0.1380493590
36 0.1017854230
37 0.0619719938
38 0.0311575424
39 0.0129356303
40 0.0385231708
41 0.0739738945
42 0.1172986366
43 0.1535911729
44 0.1660729211
45 0.1482828079
46 0.1093306658
47 0.0665659103
48 0.0334672172
49 0.0138945345
50 0.0409241179
51 0.0785842991
52 0.1246092449
53 0.1631637043
54 0.1764233743
55 0.1575244968
56 0.1161446722
57 0.0707146141
58 0.0355530532
59 0.0147605079
60 0.0430418762
61 0.0826509121
62 0.1310575760
63 0.1716071679
64 0.1855530049
65 0.1656761403
66 0.1221549752
67 0.0743739834
68 0.0373928674
69 0.0155243408
70 0.0448663351
71 0.0861543187
72 0.1366128441
73 0.1788812519
74 0.1934182252
75 0.1726988200
76 0.1273328798
77 0.0775265476
78 0.0389778761
79 0.0161823865
80 0.0464014960
81 0.0891022026
82 0.1412872331
83 0.1850019104
84 0.2000362852
85 0.1786079384
86 0.1316897426
87 0.0801792209
88 0.0403115557
89 0.0167360883
90 0.0476631249
91 0.0915248380
92 0.1451287483
93 0.1900320015
94 0.2054751520
95 0.1834641812
96 0.1352703078
97 0.0823592458
98 0.0414076027
99 0.0171911325
o111 o7
0 0.0131037244
1 0.0297594464
2 0.0558111823
3 0.0864340782
4 0.1105393694
5 0.1167394392
6 0.1018091856
7 0.0733203986
8 0.0436044256
9 0.0214142705
10 0.0146348781
11 0.0332368004
12 0.0623326490
13 0.0965337918
14 0.1234557560
15 0.1303802962
16 0.1137054613
17 0.0818877952
18 0.0486995481
19 0.0239165012
20 0.0161189451
21 0.0366072170
22 0.0686535640
23 0.1063229136
24 0.1359749311
25 0.1436016623
26 0.1252358963
27 0.0901917227
28 0.0536379826
29 0.0263417819
30 0.0175238700
31 0.0397978968
32 0.0746373990
33 0.1155900038
34 0.1478264869
35 0.1561179630
36 0.1361514394
37 0.0980528205
38 0.0583130616
39 0.0286377279
40 0.0188228955
41 0.0427480716
42 0.0801701882
43 0.1241585651
44 0.1587847037
45 0.1676908179
46 0.1462441975
47 0.1053213695
48 0.0626357454
49 0.0307606116
50 0.0199960277
51 0.0454123346
52 0.0851667752
53 0.1318967167
54 0.1686809206
55 0.1781421061
56 0.1553588305
57 0.1118854976
58 0.0665395027
59 0.0326777590
60 0.0210307905
61 0.0477623510
62 0.0895740210
63 0.1387221630
64 0.1774098914
65 0.1873606783
66 0.1633984042
67 0.1176753949
68 0.0699828166
69 0.0343687813
70 0.0219222436
71 0.0497869013
72 0.0933708843
73 0.1446023176
74 0.1849299412
75 0.1953025223
76 0.1703245352
77 0.1226634192
78 0.0729492480
79 0.0358256051
80 0.0226723421
81 0.0514904260
82 0.0965656925
83 0.1495500770
84 0.1912575636
85 0.2019850560
86 0.1761524143
87 0.1268605102
88 0.0754453029
89 0.0370514255
90 0.0232887895
91 0.0528904198
92 0.0991912558
93 0.1536162539
94 0.1964577422
95 0.2074769087
96 0.1809418929
97 0.1303097714
98 0.0774966154
99 0.0380588315
o111 o8
0 0.0053782890
1 0.0144486914
2 0.0320530054
3 0.0587173183
4 0.0888222798
5 0.1109523682
6 0.1144486239
7 0.0974863849
8 0.0685703668
9 0.0398279077
10 0.0060067354
11 0.0161370029
12 0.0357983588
13 0.0655783633
14 0.0992010518
15 0.1239170133
16 0.1278218021
17 0.1088775467
18 0.0765827281
19 0.0444817488
20 0.0066158554
21 0.0177733945
22 0.0394285332
23 0.0722284138
24 0.1092606503
25 0.1364829627
26 0.1407837211
27 0.1199184014
28 0.0843486891
29 0.0489924725
30 0.0071924924
31 0.0193225210
32 0.0428651186
33 0.0785238321
34 0.1187837932
35 0.1483787985
36 0.1530544104
37 0.1303704724
38 0.0917005089
39 0.0532626494
40 0.0077256640
41 0.0207548785
42 0.0460426632
43 0.0843447184
44 0.1275891066
45 0.1593779575
46 0.1644001675
47 0.1400346938
48 0.0984981680
49 0.0572109517
50 0.0082071641
51 0.0220484211
52 0.0489122607
53 0.0896014820
54 0.1355410659
55 0.1693111488
56 0.1746463668
57 0.1487623212
58 0.1046370417
59 0.0607766100
60 0.0086318719
61 0.0231893920
62 0.0514433928
63 0.0942382168
64 0.1425551015
65 0.1780727329
66 0.1836840400
67 0.1564605358
68 0.1100518430
69 0.0639217034
70 0.0089977596
71 0.0241723439
72 0.0536239752
73 0.0982327860
74 0.1485977266
75 0.1856208793
76 0.1914700386
77 0.1630925844
78 0.1147167201
79 0.0666312163
80 0.0093056299
81 0.0249994326
82 0.0554587903
83 0.1015939506
84 0.1536821942
85 0.1919721430
86 0.1980214388
87 0.1686730128
88 0.1186419043
89 0.0689110915
90 0.0095586444
91 0.0256791522
92 0.0569666816
93 0.1043562292
94 0.1578607210
95 0.1971917506
96 0.2034055231
97 0.1732591309
98 0.1218677066
99 0.0707847427
o111 o9
0 0.0012504654
1 0.0039778275
2 0.0104489971
3 0.0226651872
4 0.0405976939
5 0.0600484451
6 0.0733434248
7 0.0739741472
8 0.0616109812
9 0.0423735983
10 0.0014637996
11 0.0046564598
12 0.0122316353
13 0.0265319534
14 0.0475238131
15 0.0702929355
16 0.0858560888
17 0.0865944148
18 0.0721220462
19 0.0496026935
20 0.0016858576
21 0.0053628436
22 0.0140871714
23 0.0305568441
24 0.0547331637
25 0.0809563563
26 0.0988804361
27 0.0997307660
28 0.0830629426
29 0.0571274097
30 0.0019116127
31 0.0060809882
32 0.0159736006
33 0.0346487460
34 0.0620625443
35 0.0917973147
36 0.1121216284
37 0.1130858270
38 0.0941859963
39 0.0647774065
40 0.0021357807
41 0.0067940839
42 0.0178467677
43 0.0387118808
44 0.0693403972
45 0.1025620580
46 0.1252697315
47 0.1263469981
48 0.1052308518
49 0.0723736217
50 0.0023531883
51 0.0074856742
52 0.0196634440
53 0.0426524799
54 0.0763987654
55 0.1130021592
56 0.1380213153
57 0.1392082402
58 0.1159426176
59 0.0797407510
60 0.0025591280
61 0.0081407845
62 0.0213842943
63 0.0463852203
64 0.0830848189
65 0.1228915662
66 0.1501002788
67 0.1513910776
68 0.1260893593
69 0.0867192790
70 0.0027496609
71 0.0087468846
72 0.0229764039
73 0.0498387060
74 0.0892706736
75 0.1320411241
76 0.1612755876
77 0.1626624893
78 0.1354770003
79 0.0931757275
80 0.0029218332
81 0.0092945779
82 0.0244150902
83 0.0529593974
84 0.0948604299
85 0.1403089872
86 0.1713739906
87 0.1728477343
88 0.1439600037
89 0.0990100020
90 0.0030737891
91 0.0097779614
92 0.0256848468
93 0.0557136589
94 0.0997938400
95 0.1476060423
96 0.1802866445
97 0.1818370333
98 0.1514469373
99 0.1041592191
o111 o10
0 0.0003937550
1 0.0014815878
2 0.0046035553
3 0.0118120726
4 0.0250280670
5 0.0437923590
6 0.0632761760
7 0.0755011632
8 0.0743941725
9 0.0605335331
10 0.0004609311
11 0.0017343522
12 0.0053889392
13 0.0138272566
14 0.0292979493
15 0.0512635000
16 0.0740713295
17 0.0883819455
18 0.0870860980
